Supplier,Date,Type,Invoice number,Product ID,Description,Quantity,Price,Total Amount
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,6.96E+12,SILICONA LIQUIDA *30ML,6,1201,7206
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,6.96E+12,PEGANTE PLATINO,12,438,5256
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,8.70E+12,GUANTES,12,1600,19200
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,7.71E+12,SUPER ASTRO GLUE *3G,12,301,3612
CAMILO ANDRES JARAMILLO GORDILLO,4/7/2022,FC,35763,1068,CEPILLO DE ROPA PLANO,12,1681,20172
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,446,LIBRETA ARGOLLADA,5,1134,5670
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,7.45E+12,SILICONA LIQUIDA *100ML,6,2250,13500
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,763,9156
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,402,ENCENDEDOR PISTOLA 2 CANDELAS,12,4803,57636
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,7.45E+12,LAPIZ CORRECTOR PLATINO,12,963,11556
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,8.77E+12,LAPICERO PLATINO SEMIGEL PUNTA FINA X12,10,6050,60500
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,7.40E+12,CINTA NEGRA PLATINO 5MT,10,792,7920
CAMILO ANDRES JARAMILLO GORDILLO,4/21/2022,FC,36981,299,CEPILLO DE EMBOLAR PEQUEÑO,6,1450,8700
CAMILO ANDRES JARAMILLO GORDILLO,5/5/2022,FC,37953,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,807,9684
CAMILO ANDRES JARAMILLO GORDILLO,5/5/2022,FC,37953,8.80E+12,MAQUINA DE AFEITAR DORCO NEGRA,24,392,9408
CAMILO ANDRES JARAMILLO GORDILLO,5/5/2022,FC,37953,6.95E+12,SUPER GLUEMPQUEÑO *4G,12,324,3888
CAMILO ANDRES JARAMILLO GORDILLO,5/5/2022,FC,37953,6.96E+12,SUPER GLUE ROJO SAM *10GRS,12,569,6828
CAMILO ANDRES JARAMILLO GORDILLO,5/19/2022,FC,39110,6052,BANDA CAUCHOS AMARILLOS *100,2,2466,4932
CAMILO ANDRES JARAMILLO GORDILLO,5/19/2022,FC,39110,7.70E+12,TINTE IRIS,12,1801,21612
CAMILO ANDRES JARAMILLO GORDILLO,5/19/2022,FC,39110,125,PORTA CEPILLO DE DIENTES,12,550,6600
CAMILO ANDRES JARAMILLO GORDILLO,6/2/2022,FC,40017,7.45E+12,SILICONA LIQUIDA *100ML,6,1387,8322
CAMILO ANDRES JARAMILLO GORDILLO,6/2/2022,FC,40017,125,PORTA CEPILLO DE DIENTES,24,550,13200
CAMILO ANDRES JARAMILLO GORDILLO,6/2/2022,FC,40017,6.96E+12,SUPER GLUE ROJO SAM *10GRS,12,569,6828
CAMILO ANDRES JARAMILLO GORDILLO,6/2/2022,FC,40017,298,CEPILLO DE EMBETUNAR,6,2017,12102
CAMILO ANDRES JARAMILLO GORDILLO,6/2/2022,FC,40017,149,COLADOR DE CAFE TALEGA ECONOMICO,36,901,32436
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,384,FACTUREROS MEDIANOS,12,700,8400
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,446,LIBRETA ARGOLLADA,12,1134,13608
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,7-702-576-8320,CEPILLO ADULTO,12,900,10800
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,1101,REMOVEDOR ECONOMICO * 50CC,6,798,4788
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,96321,TAPA BOCAS,150,220,33000
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,6.96E+12,SUPER GLUE ROJO SAM *10GRS,24,569,13656
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,7.71E+12,CEPILLO NIÑOS,12,850,10200
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,149,COLADOR DE CAFE TALEGA ECONOMICO,24,901,21624
CAMILO ANDRES JARAMILLO GORDILLO,6/15/2022,FC,40883,299,CEPILLO DE EMBOLAR PEQUEÑO,12,1450,17400
CAMILO ANDRES JARAMILLO GORDILLO,7/9/2022,FC,42318,8.44E+12,GUANTES DE NITRILO,62,2900,179800
CAMILO ANDRES JARAMILLO GORDILLO,7/9/2022,FC,42318,8.70E+12,GUANTES,62,1600,99200
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,812,9744
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,6052,BANDA CAUCHOS AMARILLOS *100,1,2466,2466
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,2223,FACTURERO MEDIANO AUTOCOPIANTE,6,2319,13914
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,5.90E+12,SILICONA LIQUIDA FOX *30ML,10,1609,16090
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,5367,IMPERMEABLE DE BOLSILLO CON REFLECTIVO,18,5800,104400
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,7.71E+12,LAPICERO ULTRA GEL NEGRO,36,504,18144
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,7458,CAUCHOS GOMELOS GRUESO,12,455,5460
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,1068,CEPILLO DE ROPA PLANO,12,1849,22188
CAMILO ANDRES JARAMILLO GORDILLO,7/28/2022,FC,43458,7459,CAUCHOS GOMELOS DELGADOS,12,210,2520
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,384,FACTUREROS MEDIANOS,12,650,7800
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,798,9576
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,8.80E+12,MAQUINA DE AFEITAR DORCO NEGRA,24,399,9576
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,6.58E+12,EXTENSION ELECTRICA PLATINO 1.8,3,4328,12984
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,6.58E+12,EXTENSION ELECTRICA PLATINO 2.7,3,5042,15126
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,7.70E+12,TINTE IRIS,12,1803,21636
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,7.71E+12,CINTA NEGRA AISLANTE *10,1,7815,7815
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,11563,CAÑAMO GRANDE,3,1765,5295
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,6.96E+12,SUPER GLUE ROJO SAM *10GRS,24,574,13776
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,7.71E+12,LAPICERO ULTRA GEL NEGRO,36,501,18036
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,7.71E+12,SUPER ASTRO GLUE *3G,24,280,6720
CAMILO ANDRES JARAMILLO GORDILLO,8/11/2022,FC,44303,1068,CEPILLO DE ROPA PLANO,12,1765,21180
CAMILO ANDRES JARAMILLO GORDILLO,8/25/2022,FC,45298,96321,TAPA BOCAS,100,252,25200
CAMILO ANDRES JARAMILLO GORDILLO,8/25/2022,FC,45298,5.90E+12,SILICONA LIQUIDA FOX *30ML,10,1501,15010
CAMILO ANDRES JARAMILLO GORDILLO,8/25/2022,FC,45298,8.91E+12,LAPICERO OFIPLUS,24,501,12024
CAMILO ANDRES JARAMILLO GORDILLO,8/25/2022,FC,45298,11563,CAÑAMO GRANDE,6,1748,10488
CAMILO ANDRES JARAMILLO GORDILLO,8/31/2022,FC,45735,1004,GUANTES ECONOMICO,48,1793,86064
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,419,VELA VOLCAN,12,961,11532
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,824,9888
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,8.80E+12,MAQUINA DE AFEITAR DORCO NEGRA,24,412,9888
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,7.70E+12,TINTE IRIS,12,1803,21636
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,6.96E+12,SUPER GLUE ROJO SAM *10GRS,12,571,6852
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,298,CEPILLO DE EMBETUNAR,6,2882,17292
CAMILO ANDRES JARAMILLO GORDILLO,9/9/2022,FC,46273,4.72E+12,PEGANTE CHEMER SUPER GLUE ROJO,12,350,4200
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,446,LIBRETA ARGOLLADA,6,1375,8250
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,8.80E+12,MAQUINA DE AFEITAR DORCO NEGRA,24,412,9888
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,431,CEPILLO DE EMBETUNAR,6,1219,7314
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,5.90E+12,SILICONA LIQUIDA *60ML,6,2282,13692
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,1264,SILICONA BARRA DELGADA,36,827,29772
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,6.96E+12,SUPER GLUE ROJO SAM *10GRS,12,571,6852
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,5367,IMPERMEABLE DE BOLSILLO CON REFLECTIVO,12,4706,56472
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,7.71E+12,LAPICERO ULTRA GEL NEGRO,36,550,19800
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,7458,CAUCHOS GOMELOS GRUESO,12,450,5400
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,298,CEPILLO DE EMBETUNAR,4,2882,11528
CAMILO ANDRES JARAMILLO GORDILLO,9/22/2022,FC,47222,4.72E+12,PEGANTE CHEMER SUPER GLUE ROJO,12,350,4200
CAMILO ANDRES JARAMILLO GORDILLO,11/25/2022,FC,51815,1067,CEPILLO DE ROPA CON MANGO,12,1765,21180
CAMILO ANDRES JARAMILLO GORDILLO,11/25/2022,FC,51815,1068,CEPILLO DE ROPA PLANO,12,1801,21612
CAMILO ANDRES JARAMILLO GORDILLO,11/25/2022,FC,51815,149,COLADOR DE CAFE TALEGA ECONOMICO,24,1001,24024
CAMILO ANDRES JARAMILLO GORDILLO,12/2/2022,FC,52233,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,831,9972
CAMILO ANDRES JARAMILLO GORDILLO,12/2/2022,FC,52233,1004,GUANTES ECONOMICO,12,1681,20172
CAMILO ANDRES JARAMILLO GORDILLO,12/2/2022,FC,52233,7.70E+12,TINTE IRIS,12,1803,21636
CAMILO ANDRES JARAMILLO GORDILLO,12/2/2022,FC,52233,6.96E+12,SUPER GLUE ROJO SAM *10GRS,24,522,12528
CAMILO ANDRES JARAMILLO GORDILLO,12/2/2022,FC,52233,4.72E+12,PEGANTE CHEMER SUPER GLUE ROJO,12,350,4200
CAMILO ANDRES JARAMILLO GORDILLO,12/30/2022,FC,54184,8.80E+12,CUCHILLA EN HOJA X 5 DORCO,12,837,10044
CAMILO ANDRES JARAMILLO GORDILLO,12/30/2022,FC,54184,1067,CEPILLO DE ROPA CON MANGO,8,1807,14456
CAMILO ANDRES JARAMILLO GORDILLO,12/30/2022,FC,54184,1068,CEPILLO DE ROPA PLANO,12,1807,21684
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,CHORIZO COCTEL POLLO *10,5,5462,27310
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,MORTADELA JAMONADA MAYAS *450,8,3529,28232
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,MORTADELA JAMONADA MAYAS *250G,8,2353,18824
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,2907,SALCHICHA MANGUERA,25,6048,151200
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,SALCHICHO AHUMADO RICHS,15,4958,74370
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,HAMBURGUEZA *6 *500GRA,2,5252,10504
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,MORTADELA *250GR,8,2479,19832
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,CHORIZO COCTEL SANTARROSANO MAYAS *10,2,7479,14958
CAÑARTE CORTES JHON ALEXANDER,9/9/2022,FC,352,7.71E+12,SALCHICHON DE POLLO*900GRA,4,5462,21848
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.70E+12,CHORIZO DE POLLO *10UND,3,6850,20550
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.70E+12,CHORIZO DE RES FERNI X10,3,5756,17268
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,2907,SALCHICHA MANGUERA,25,6150,153750
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,SALCHICHON DE POLLO *500G,4,3429,13716
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,SALCHICHON TRADIICONAL *900GR,6,5900,35400
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,HAMBURGUEZA *6 *500GRA,2,5650,11300
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,MORTADELA JAMONADA *450GR,3,3529,10587
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,SALCHICHA PERRO DELI X12,2,5900,11800
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,MORTADELA BANKY *450GR,7,5100,35700
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,SALCHICHON CERVECERO *1200GR,6,7600,45600
DISTRIBUIDORA DE CARNICOS,7/15/2022,FC,162,7.71E+12,SALCHICHON DE POLLO*900GRA,4,5750,23000
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,8/26/2022,FC,179,159,AZUCAR BULTO,20,200000,4000000
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,9/10/2022,FC,192,159,AZUCAR BULTO,20,202857,4057140
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,9/23/2022,FC,209,159,AZUCAR BULTO,15,199524,2992860
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,10/7/2022,FC,219,159,AZUCAR BULTO,15,195238,2928570
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,10/21/2022,FC,233,159,AZUCAR BULTO,15,188571,2828565
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,10/21/2022,FC,17149,1450,ARROZ  BULTO,5,168000,840000
GARCIA CEBALLOS JUAN FERNANDO Y/O DISTRI,11/9/2022,FC,253,159,AZUCAR BULTO,15,188571,2828565
ECOX CASTAÑO GERMAN ESTEBAN,3/17/2022,FC,712,7.82E+11,DETERGENTE ECOX *950GR,20,3361,67220
ECOX CASTAÑO GERMAN ESTEBAN,3/17/2022,FC,712,7.82E+11,DETERGENTE ECOX *450GR,40,1681,67240
ECOX CASTAÑO GERMAN ESTEBAN,3/17/2022,FC,712,7.82E+11,DETERGENTE ECOX FLORAL *2800GR,7,8900,62300
ECOX CASTAÑO GERMAN ESTEBAN,9/16/2022,FC,865,7.82E+11,DETERGENTE LIQUIDO ECOX,6,4160,24960
ECOX CASTAÑO GERMAN ESTEBAN,9/16/2022,FC,865,7.82E+11,DETERGENTE ECOX FLORAL *2800GR,14,10500,147000
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA INSTANTANEA ORGANICA *500G,6,3445,20670
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA INSTANTANEA PALESTINA *500,6,2488,14928
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA GRANULADA CON LECHE *400G,6,6504,39024
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA INSTANTANEA SABOR GENGIBRE LIMON*500G,2,5164,10328
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA INSTAN SABOR MARACUYA PALESTINA *500,5,4959,24795
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA SABOR A LIMON LA PALESTINA,7,4694,32858
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA  PALESTINA CUADRADA *4 UND,40,2287,91480
DISTRITIENDAS NORTE DEL VALLE,4/4/2022,FC,777,7.71E+12,PANELA PALESTINA REDONDA *4UND,40,2278,91120
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PANELITAS COPELITAS AREQUIPE Y COCO,24,292,7008
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,YUPI HORNEADOS *44G,6,1250,7500
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,YUPI QUESO *44G,2,1250,2500
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,EL GOLPE RANCHERO X  140 G,2,3858,7716
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PAPAS RIZADAS MAYONESA X 31 GM.,8,1261,10088
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,LONCHERA DIVERTIDA YUPI,3,7017,21051
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,RISADA MAYONESA  *110G,1,3501,3501
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PQT RIZADA POLLO X 45 GR,2,1694,3388
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PQT RIZADA POLLO X 45 GR,3,1694,5082
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,RIZADA TOMATE *115GR,2,3501,7002
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PALOMITAS CARAMELO *68G,8,1055,8440
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,RIZADAS NATURAL 31G,2,1261,2522
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,TOSTIEMPANADAS YUPI,6,700,4200
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,CHEESE HORNEADOS *82G,4,2084,8336
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,TOSTI NACHOS FULL QUESO X 28 GR,3,700,2100
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,TOSTI NACHOS *- 160 G,2,2815,5630
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,TOZINETAS FRED YUPI * 25 G,6,913,5478
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PAPITAS RIZADAS POLLO X 31GR,5,1261,6305
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PAPA RIZADA POLLO X 115 GR,1,3501,3501
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,YUPIS PICANTOSOS *50G,3,1250,3750
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,GOLPE MAYONESA,2,1416,2832
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,RIZADAS DE LIMON 30G,8,1261,10088
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PQT RIZADA MAYONESA X 45 GR,5,1694,8470
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,GOLPE CON TODO LIMOPN * 140 G,1,3858,3858
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PALOMITAS FAMILIAR CARAMELO*170,3,2521,7563
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PAPAS RIZADAS YUPI  MAYONESA *250G,4,6314,25256
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,GOLPE ORGINAL  YUPI X 45GRS,3,1416,4248
ORTIZ GONZALES JHON JAIRO Y/O YUPI NUEVO,9/2/2022,FC,3080,7.70E+12,PALOMITA GALLETA*170G,3,2521,7563
