Date,Description
2010-12-12 12:24:00,"['C2720', 'C1638', 'C2872', 'C2611', 'C45', 'C831', 'C3656', 'C3370', 'C3406', 'C2607', 'C2988', 'C2599', 'C3358', 'C37', 'C3491', 'C2801', 'C1322', 'C2973', 'C207', 'C368', 'C2699', 'C1851', 'C2824', 'C1007', 'C3376', 'C1953', 'C2215', 'C2533', 'C2301', 'C1651', 'C2840', 'C1655', 'C991', 'C2099', 'C2468', 'C2724', 'C2724', 'C958', 'C3247', 'C1994', 'C1506', 'C628', 'C1917', 'C1236', 'C1625', 'C2778', 'C1987', 'C1293', 'C1968', 'C1346', 'C2603', 'C228', 'C3064', 'C2545']"
2010-12-12 12:26:00,"['C1401', 'C1446', 'C1626', 'C3621', 'C3690', 'C1888', 'C2824', 'C2414', 'C728', 'C831', 'C629', 'C2387', 'C296', 'C3666', 'C2120', 'C1768', 'C1166', 'C398', 'C1602', 'C1124', 'C1587', 'C37', 'C1446', 'C3703', 'C2765', 'C2364', 'C284']"
2010-12-12 12:35:00,"['C1740', 'C45', 'C2872', 'C831', 'C2226', 'C3406', 'C37', 'C1334', 'C3770', 'C3765', 'C3376', 'C1719', 'C3188', 'C1037']"
2010-12-12 12:41:00,"['C232', 'C2628', 'C1972', 'C173', 'C1431', 'C2830', 'C72', 'C1798', 'C1894', 'C803', 'C2494', 'C225', 'C3196', 'C2941', 'C831', 'C394', 'C2152', 'C1857', 'C3192', 'C2400', 'C747', 'C3188', 'C2023', 'C118', 'C1658', 'C2761', 'C1320', 'C2410', 'C2023']"
2010-12-12 12:44:00,"['C3449', 'C1606', 'C1649', 'C104', 'C2781', 'C1218', 'C3005', 'C1830', 'C3687', 'C2642', 'C272', 'C3125', 'C3376', 'C2051', 'C2364', 'C747', 'C2400', 'C2047', 'C3223', 'C1253', 'C777', 'C2326', 'C2922', 'C12', 'C681', 'C2771', 'C1723', 'C2935', 'C1559', 'C19', 'C368', 'C1994', 'C733', 'C424', 'C875', 'C808', 'C1987', 'C1884', 'C1980', 'C1082', 'C1416', 'C3799', 'C3350', 'C118']"
2010-12-12 12:56:00,"['C1124', 'C1987', 'C3697', 'C3032', 'C2238', 'C1420']"
2010-12-12 13:01:00,"['C2123', 'C748', 'C293', 'C3734', 'C1019', 'C2060', 'C1938', 'C547', 'C293', 'C579', 'C3073', 'C2684', 'C547', 'C3032', 'C2112', 'C244', 'C1894', 'C19']"
2010-12-12 13:26:00,"['C602', 'C1744', 'C1266', 'C3099', 'C3059', 'C969', 'C1588', 'C2062', 'C2439', 'C646', 'C2062', 'C348', 'C3295', 'C1591', 'C3473', 'C1551', 'C564', 'C2684', 'C2950', 'C1555', 'C515', 'C1995', 'C511', 'C1256', 'C1625', 'C1894', 'C407', 'C1543', 'C2066', 'C947', 'C465', 'C2767', 'C2360', 'C349', 'C1007', 'C1001', 'C1001', 'C3235', 'C1653', 'C3677', 'C1943', 'C1373', 'C3528', 'C2988', 'C2056', 'C1334', 'C3358', 'C1989', 'C3116', 'C1878', 'C3765', 'C2710', 'C1817', 'C1979', 'C2233', 'C2637']"
2010-12-12 13:32:00,"['C1228', 'C1179', 'C2475', 'C238', 'C3680', 'C2103', 'C67', 'C2351', 'C1987', 'C1710', 'C314', 'C1440', 'C2985', 'C157', 'C2458', 'C808', 'C875', 'C424', 'C552', 'C3140', 'C3590', 'C2085', 'C1118', 'C3777', 'C3681', 'C2170', 'C104', 'C3473', 'C1591', 'C2274', 'C1037', 'C3449', 'C3048', 'C173', 'C1036', 'C910', 'C2047', 'C2561', 'C1603', 'C208', 'C2914', 'C2900', 'C41', 'C2516', 'C3376', 'C1953', 'C3370', 'C831', 'C2988', 'C1334', 'C1922', 'C3496', 'C3192', 'C3697', 'C1994', 'C936', 'C1712', 'C2541', 'C3456', 'C3703', 'C2358', 'C2002', 'C706', 'C1420', 'C2403', 'C1964', 'C2093', 'C465', 'C2357', 'C2215', 'C3032', 'C2401', 'C2155', 'C1407', 'C3451', 'C3291', 'C3374', 'C3221', 'C2638', 'C1191', 'C3109', 'C2104', 'C574', 'C1927', 'C3591', 'C2433', 'C363', 'C655', 'C1933', 'C1370', 'C2347', 'C1102', 'C3099', 'C3392', 'C3657', 'C446', 'C1759', 'C946', 'C579', 'C3468', 'C2236', 'C143', 'C3171', 'C1124', 'C1256', 'C2578', 'C569', 'C892', 'C1320', 'C2617', 'C1431', 'C2937', 'C632', 'C1965', 'C2824', 'C1894', 'C2574', 'C407']"
2010-12-12 13:37:00,"['C721', 'C1418', 'C3433', 'C1574', 'C358', 'C1779', 'C285', 'C2516', 'C1112', 'C2783', 'C2247', 'C3433', 'C226', 'C2758', 'C1974', 'C1828', 'C3520', 'C958', 'C1636', 'C2234', 'C1204', 'C2689', 'C3746']"
2010-12-12 13:47:00,"['C803', 'C1320', 'C2507', 'C3099', 'C1877', 'C803', 'C3347', 'C3347', 'C2824', 'C2824', 'C2507', 'C1974', 'C1996', 'C2958', 'C1828', 'C2146', 'C2351', 'C2951', 'C966', 'C463', 'C1817', 'C2221', 'C293', 'C2660', 'C395', 'C1320', 'C1124', 'C1034', 'C942', 'C1295', 'C803', 'C3347', 'C2958', 'C3053', 'C1507', 'C714', 'C776', 'C3056', 'C15', 'C3533']"
2010-12-12 13:56:00,"['C1039', 'C2233', 'C1014', 'C2240', 'C345', 'C2455', 'C2844', 'C2864', 'C2348', 'C673', 'C3595', 'C1084', 'C473', 'C285', 'C1695', 'C2683']"
2010-12-12 14:03:00,"['C3276', 'C3517', 'C3306', 'C542', 'C1583', 'C573', 'C812', 'C3439', 'C2099']"
2010-12-12 14:21:00,"['C1964', 'C2541', 'C3703', 'C3456', 'C1941', 'C2694', 'C2381', 'C2381', 'C3407', 'C517', 'C893', 'C1418', 'C69', 'C2613', 'C3177', 'C3749', 'C721', 'C3337', 'C3172', 'C1439', 'C2860', 'C1418', 'C881', 'C33', 'C446']"
2010-12-12 14:27:00,"['C67', 'C3070', 'C1953', 'C2903', 'C3376', 'C1554', 'C1987', 'C3357', 'C858', 'C1466', 'C3739', 'C1295', 'C2541', 'C2403', 'C1974', 'C3626', 'C1739', 'C805', 'C1974', 'C1974', 'C465', 'C2093', 'C3416', 'C3358', 'C2988', 'C1843', 'C1371', 'C2355', 'C1037', 'C2355', 'C2355', 'C1037', 'C2355', 'C1037', 'C2355', 'C2355', 'C1037', 'C867', 'C1548', 'C2516', 'C3466', 'C2162', 'C469', 'C2022', 'C874', 'C106', 'C144', 'C238', 'C42', 'C3680', 'C3214', 'C1719', 'C106', 'C2958', 'C2351', 'C3044', 'C2954', 'C502']"
2010-12-12 14:43:00,"['C1606', 'C396', 'C2798', 'C2133', 'C2725', 'C552', 'C1757', 'C296', 'C2561', 'C3073', 'C3616', 'C812', 'C2702']"
2010-12-12 16:05:00,"['C3616', 'C1638', 'C2533', 'C2873', 'C59', 'C2047', 'C1832', 'C2561', 'C72', 'C1942', 'C1359', 'C747', 'C2400', 'C2314', 'C2607', 'C492', 'C1595', 'C474', 'C2725', 'C2133', 'C2545', 'C552', 'C1728', 'C2968', 'C2427', 'C2215', 'C3073', 'C3073', 'C2108', 'C1653', 'C2265', 'C3350', 'C3799', 'C2309', 'C2309', 'C2309', 'C3690', 'C3690', 'C1082', 'C839', 'C839', 'C3810', 'C3810', 'C1626', 'C3810', 'C1082', 'C1082', 'C1082', 'C1082', 'C839', 'C2905', 'C3471', 'C2985']"
2010-12-12 16:14:00,"['C3660', 'C3099', 'C3007', 'C1749', 'C947', 'C1817', 'C699', 'C1089', 'C3277', 'C680', 'C3606', 'C2155', 'C1053', 'C199', 'C1800', 'C1894', 'C1658', 'C1712', 'C3533', 'C2278', 'C815', 'C1586', 'C1987', 'C1295', 'C3032', 'C3053', 'C1420', 'C3032', 'C2093', 'C3456', 'C1815', 'C1878', 'C2713', 'C175', 'C3696', 'C2973', 'C3335', 'C476', 'C3529', 'C2266', 'C3339', 'C1825', 'C464', 'C608', 'C57', 'C57', 'C1541', 'C1359', 'C1157', 'C3205', 'C1712', 'C1994', 'C2941', 'C967', 'C1157', 'C1668', 'C721', 'C3221', 'C3715', 'C1989', 'C2614', 'C2575', 'C2068', 'C2231', 'C3034', 'C2636', 'C1012', 'C1968', 'C756', 'C2307', 'C2980', 'C2104', 'C2104', 'C543', 'C3144', 'C1439', 'C1113', 'C2950', 'C3059', 'C2398', 'C515', 'C798', 'C699', 'C3295', 'C3538', 'C3108', 'C2903', 'C3376', 'C1953', 'C2753', 'C2517', 'C3295', 'C1706', 'C2997', 'C1478', 'C2372', 'C974', 'C3155', 'C2120', 'C583', 'C3126', 'C2674', 'C2607', 'C1974', 'C314', 'C2749', 'C3738', 'C1191', 'C207', 'C2546', 'C1322', 'C662', 'C1306', 'C393', 'C1609', 'C2410', 'C2399', 'C1658', 'C118', 'C1445', 'C630', 'C2724', 'C958', 'C248', 'C1817', 'C2778', 'C1625', 'C721', 'C326', 'C1374', 'C1058', 'C1294', 'C2421', 'C701', 'C2923', 'C3660', 'C3442']"
2010-12-12 16:20:00,"['C2113', 'C1198', 'C3101', 'C226', 'C118', 'C3520']"
2010-12-13 09:02:00,"['C1371', 'C1037', 'C349', 'C626', 'C1243', 'C2360', 'C3154', 'C175', 'C1595', 'C1924', 'C287', 'C1899', 'C2536', 'C3320', 'C1017', 'C1861', 'C2355']"
2010-12-13 09:09:00,"['C2837', 'C2801', 'C53', 'C293', 'C1980', 'C1884']"
2010-12-13 09:29:00,"['C3239', 'C3240', 'C253', 'C446', 'C1772', 'C44', 'C145', 'C2329', 'C2458', 'C399', 'C2273', 'C1963', 'C1662', 'C2508', 'C829', 'C2085', 'C425', 'C383', 'C3777', 'C3289', 'C2758', 'C984', 'C2946', 'C1439']"
2010-12-13 09:39:00,"['C1063', 'C2607', 'C1020', 'C3271', 'C3761', 'C2991', 'C3385', 'C3130', 'C399', 'C3687', 'C3625', 'C1124', 'C1521', 'C1371', 'C1037', 'C2018', 'C176', 'C3703', 'C465', 'C3032']"
2010-12-13 09:49:00,"['C196', 'C1465', 'C2375', 'C2120']"
2010-12-13 09:52:00,"['C2753', 'C3504', 'C290', 'C80', 'C3496', 'C1505', 'C314']"
2010-12-13 09:57:00,"['C2546', 'C3335', 'C1337', 'C1526', 'C1815', 'C374']"
2010-12-13 10:24:00,"['C3032', 'C2325', 'C1439', 'C3376', 'C2903', 'C1953', 'C1306', 'C1964', 'C2541', 'C2403', 'C465', 'C811', 'C2305', 'C748', 'C393', 'C560', 'C1894', 'C1478', 'C621', 'C2746', 'C3358', 'C3424', 'C242']"
2010-12-13 10:31:00,"['C474', 'C1728', 'C1450', 'C2900', 'C680', 'C41', 'C3638', 'C654', 'C289', 'C636', 'C3681', 'C2215', 'C876', 'C2171', 'C2546', 'C59', 'C2282', 'C1398', 'C1372', 'C876', 'C1553', 'C45', 'C3174', 'C3566', 'C2533', 'C957', 'C1920', 'C515', 'C1131', 'C2150', 'C1638', 'C2248', 'C1591', 'C1551', 'C1440', 'C2985', 'C3376']"
2010-12-13 10:31:00,"['C293', 'C323', 'C1124', 'C458', 'C1014', 'C3376', 'C465', 'C2980', 'C2710', 'C407', 'C1266', 'C3703', 'C2265']"
2010-12-13 10:39:00,"['C1894', 'C2190', 'C1953', 'C244', 'C19', 'C2710', 'C621']"
2010-12-13 10:41:00,"['C175', 'C1719', 'C2710', 'C3533', 'C3054', 'C1371', 'C3188', 'C621']"
2010-12-13 10:46:00,"['C1974', 'C1439', 'C1987', 'C1943', 'C1611', 'C1952', 'C3359', 'C3405', 'C3439', 'C1039', 'C1898', 'C2717', 'C3248', 'C2323', 'C1710']"
2010-12-13 10:58:00,"['C564', 'C3473', 'C1007', 'C2363', 'C3436', 'C3515', 'C3037', 'C1994', 'C3697', 'C542', 'C739', 'C1987', 'C2238', 'C2854', 'C3056', 'C661', 'C1789', 'C3803', 'C2801', 'C1191', 'C3539', 'C565', 'C3499', 'C2436', 'C644', 'C3265', 'C1246', 'C881', 'C785', 'C2163', 'C2522', 'C1949', 'C2864', 'C1815']"
2010-12-13 11:23:00,"['C3273', 'C1942', 'C985', 'C1571', 'C3711', 'C2102', 'C1229', 'C1974', 'C345', 'C2023', 'C3806', 'C1583', 'C1199', 'C2133', 'C1439', 'C1989', 'C2761']"
2010-12-13 11:29:00,"['C2108', 'C1256', 'C932', 'C1873', 'C1943', 'C1565', 'C3533', 'C15', 'C1056', 'C1526', 'C3111', 'C1943', 'C72', 'C748']"
2010-12-13 11:44:00,"['C24', 'C2147', 'C748', 'C3252', 'C2990', 'C465', 'C598', 'C1578', 'C754', 'C2917']"
2010-12-13 11:47:00,"['C672', 'C2903', 'C3114', 'C1383', 'C3376', 'C3416', 'C2486', 'C1987', 'C721', 'C874', 'C2022', 'C2162', 'C469', 'C1420', 'C3456']"
2010-12-13 11:51:00,"['C1791', 'C908', 'C1223', 'C195', 'C3703', 'C1295', 'C42', 'C1924', 'C1728', 'C345', 'C72']"
2010-12-13 12:10:00,"['C3416', 'C2403', 'C2541', 'C3456', 'C1730', 'C296', 'C3376']"
2010-12-13 12:26:00,"['C2146', 'C2561', 'C2820', 'C3225', 'C2771', 'C2935', 'C1871', 'C2047', 'C3754', 'C3073', 'C621', 'C2710', 'C1723', 'C3719', 'C2583', 'C552', 'C515', 'C3473', 'C3392', 'C2905', 'C3537', 'C888', 'C190', 'C2737', 'C3706', 'C474']"
2010-12-13 12:50:00,"['C2702', 'C566', 'C25', 'C2326', 'C2753', 'C33', 'C399', 'C2327', 'C2781', 'C2327', 'C157', 'C1184', 'C3625', 'C2323', 'C2554', 'C3687', 'C2327', 'C283', 'C1041', 'C3192', 'C1011', 'C2203', 'C647', 'C1710', 'C3136', 'C803', 'C803', 'C288', 'C2264', 'C3030', 'C1382', 'C728', 'C3196', 'C2824', 'C3662', 'C343', 'C2624', 'C3749', 'C3407', 'C517', 'C1857', 'C3192', 'C891', 'C1089', 'C2578', 'C1117', 'C258', 'C1046', 'C748', 'C3619', 'C1359', 'C2740', 'C967', 'C2023', 'C2155', 'C1790', 'C1603']"
2010-12-13 12:57:00,"['C59', 'C2973', 'C1928', 'C446', 'C3359', 'C3795', 'C773', 'C1014', 'C638', 'C1295', 'C2765', 'C2743', 'C1987', 'C3456', 'C1420', 'C3416', 'C3032', 'C1974', 'C947', 'C1762', 'C1943', 'C2717', 'C936', 'C699', 'C798', 'C2278', 'C866', 'C3734', 'C470', 'C1837', 'C3681', 'C383', 'C1649', 'C3227', 'C3458', 'C1532', 'C3376', 'C2439', 'C3197', 'C2091', 'C1814', 'C1063', 'C3616', 'C1927', 'C1723', 'C966', 'C2093', 'C2541', 'C1228', 'C295', 'C3359', 'C2758', 'C19', 'C3424', 'C1149', 'C2309']"
2010-12-13 13:10:00,"['C2985', 'C203', 'C1532', 'C566', 'C242', 'C1149', 'C3424', 'C3749', 'C1752', 'C3690', 'C1529', 'C3059', 'C969', 'C2309', 'C1532', 'C2781', 'C3144', 'C2539', 'C3811', 'C3285', 'C2099', 'C1987', 'C1984', 'C1328', 'C390', 'C143', 'C3468', 'C721', 'C2950', 'C969', 'C3059', 'C2753', 'C2945']"
2010-12-13 13:25:00,"['C2194', 'C2399', 'C1658', 'C2766', 'C2541', 'C3197', 'C2659', 'C2990', 'C1114', 'C1035', 'C2761', 'C2637', 'C2807', 'C2403', 'C2547', 'C3056', 'C2337', 'C3039', 'C3520', 'C748', 'C258', 'C72', 'C170', 'C3695', 'C2323', 'C2092', 'C3530', 'C3091', 'C2345', 'C2474', 'C2127', 'C2711', 'C1324', 'C2838', 'C2678', 'C783', 'C1599', 'C1088', 'C2767', 'C3358', 'C3154', 'C2233', 'C2993', 'C3466', 'C2546', 'C1007', 'C2801', 'C2410', 'C1609', 'C1349', 'C3372', 'C240', 'C1038', 'C2305']"
2010-12-13 13:27:00,"['C564', 'C3637', 'C515', 'C1551', 'C3072', 'C1370', 'C3252', 'C2542', 'C2611']"
2010-12-13 13:28:00,"['C3451', 'C3221', 'C3815', 'C3172', 'C2519', 'C803', 'C2202', 'C3376', 'C3562', 'C2189', 'C447', 'C2347', 'C2122', 'C969', 'C3059', 'C465', 'C3406', 'C2607', 'C3406', 'C3517', 'C1426', 'C1964', 'C3280', 'C2542', 'C3252', 'C1370', 'C1102', 'C2398', 'C655', 'C1933', 'C293', 'C3496', 'C293', 'C665', 'C3384', 'C1371', 'C3384', 'C3313', 'C3677', 'C2274', 'C2018']"
2010-12-13 13:28:00,"['C3591', 'C1987', 'C202', 'C2387', 'C2835', 'C2873', 'C2282', 'C3007', 'C1953', 'C748', 'C957', 'C1920', 'C2093', 'C2337', 'C3268', 'C673', 'C2468', 'C3053', 'C1420', 'C155']"
2010-12-13 13:32:00,"['C1388', 'C1420', 'C2230', 'C1744', 'C515', 'C3453', 'C1591', 'C2282', 'C1553', 'C2873', 'C1858', 'C1259', 'C37', 'C2613', 'C3749', 'C2458', 'C3387', 'C1757', 'C552', 'C190', 'C1503', 'C3162', 'C3589', 'C2363', 'C117', 'C903', 'C142', 'C121', 'C1054', 'C1886', 'C2215', 'C102', 'C2023', 'C3376', 'C585', 'C361', 'C1402', 'C2721', 'C748', 'C655', 'C1953', 'C1102', 'C2066', 'C1483', 'C776', 'C3072', 'C3656', 'C737', 'C3152', 'C3032', 'C1894', 'C3035', 'C1932']"
2010-12-13 13:50:00,"['C15', 'C3358', 'C3679', 'C2777', 'C2360', 'C1225', 'C2939', 'C3466', 'C893', 'C2511', 'C1769', 'C3407', 'C517', 'C2381', 'C446', 'C3002', 'C1007', 'C1922', 'C349', 'C3769', 'C1124', 'C3638', 'C1894', 'C407', 'C2617', 'C579', 'C3439', 'C1039', 'C2430', 'C2092', 'C2103', 'C19', 'C1056', 'C1565', 'C626', 'C740', 'C3251', 'C1114', 'C2958', 'C106', 'C2611']"
2010-12-13 13:52:00,"['C2341', 'C3157', 'C903', 'C2958', 'C106', 'C3214', 'C2274', 'C1037', 'C3333', 'C1873', 'C1718', 'C115', 'C3579', 'C2167', 'C1105', 'C2020', 'C3461', 'C3280', 'C2542', 'C1270', 'C3538', 'C1481', 'C3241', 'C1114', 'C3734', 'C2603', 'C1218', 'C3439', 'C2009', 'C2990', 'C1941', 'C3053', 'C1439', 'C1736', 'C2507', 'C1974', 'C3337', 'C808', 'C875', 'C424', 'C3616', 'C2561', 'C747', 'C2314']"
2010-12-13 14:16:00,"['C3816', 'C3015', 'C3526', 'C336', 'C1442', 'C3512', 'C2101', 'C2057', 'C3766', 'C2638', 'C881', 'C803', 'C273', 'C2202', 'C2254', 'C676', 'C451', 'C1870', 'C665', 'C3221', 'C524', 'C3511', 'C3765', 'C104', 'C1314', 'C2170', 'C3681', 'C3777', 'C675', 'C383', 'C1402', 'C3172', 'C1762', 'C3492', 'C3099', 'C1956', 'C3059', 'C1588', 'C1370', 'C2347', 'C3492', 'C3026', 'C2721', 'C3059', 'C3533', 'C2516', 'C240', 'C2836', 'C1371', 'C3456', 'C293', 'C3192']"
2010-12-13 14:24:00,"['C1730', 'C1817', 'C1382', 'C3689', 'C12', 'C2191', 'C3374', 'C665', 'C1996', 'C2955', 'C904', 'C3219', 'C2070', 'C2914', 'C2900', 'C1571', 'C3711', 'C2102', 'C1873', 'C118']"
2010-12-13 14:32:00,"['C665', 'C1736', 'C2341', 'C2578', 'C1894', 'C19']"
2010-12-13 14:36:00,"['C1828', 'C1084', 'C3220', 'C2873', 'C1036', 'C3703', 'C1964', 'C2546', 'C1322', 'C2410', 'C1609', 'C1187', 'C118', 'C1054', 'C607', 'C1553', 'C1974', 'C3456', 'C2541', 'C1420', 'C3260', 'C3637', 'C1382', 'C2522', 'C1124', 'C2327', 'C2740', 'C1987', 'C908', 'C1719', 'C155', 'C399', 'C1830', 'C59', 'C3376', 'C2638', 'C2305']"
2010-12-13 14:52:00,"['C881', 'C1246', 'C2436', 'C1368', 'C3701', 'C3384', 'C2717', 'C3417', 'C947', 'C3032', 'C1638', 'C2724', 'C49', 'C958', 'C1035', 'C3785']"
2010-12-13 14:55:00,"['C2817', 'C2403', 'C465', 'C244', 'C1420', 'C515', 'C1426', 'C3416', 'C1671', 'C3734', 'C3533', 'C3221', 'C721', 'C2265']"
2010-12-13 14:56:00,"['C320', 'C385', 'C198', 'C170', 'C1943']"
2010-12-13 15:07:00,"['C3337', 'C2955', 'C904', 'C1926', 'C3273', 'C2102', 'C3101', 'C3405', 'C293', 'C1440', 'C2974', 'C3275', 'C2260', 'C2980', 'C2509', 'C3051', 'C1171', 'C2673', 'C2327', 'C3313', 'C2022', 'C155', 'C247']"
2010-12-13 15:12:00,"['C2990', 'C2009', 'C3337', 'C2093', 'C2305', 'C72', 'C3496', 'C1007', 'C3703', 'C3053', 'C3154', 'C2233', 'C3313', 'C3677', 'C621', 'C2710', 'C465', 'C3795']"
2010-12-13 15:12:00,"['C597', 'C2031', 'C3143', 'C520', 'C410', 'C314', 'C52', 'C2856', 'C2472', 'C3721', 'C3157', 'C3120', 'C475', 'C866', 'C1192', 'C1465', 'C1425', 'C2855', 'C124', 'C407', 'C1161', 'C3049', 'C124', 'C3252', 'C3734', 'C293', 'C198', 'C2440', 'C198', 'C615', 'C2955', 'C2070', 'C3219', 'C904', 'C255', 'C3273', 'C1942', 'C985', 'C3533', 'C607', 'C3220', 'C2791', 'C3806', 'C3768', 'C3385', 'C3498', 'C3532', 'C2831', 'C3697', 'C3464', 'C1476', 'C2341', 'C3462', 'C2636', 'C1218', 'C1968', 'C1311', 'C2971', 'C127', 'C2939', 'C1933', 'C3172', 'C3721', 'C721']"
2010-12-13 15:13:00,"['C1260', 'C3642', 'C1594', 'C3345', 'C143']"
2010-12-13 15:16:00,"['C656', 'C1943', 'C2427', 'C2215', 'C1996', 'C2729', 'C2363', 'C3795', 'C2846', 'C2282', 'C1553', 'C3025', 'C1870', 'C3569', 'C3404', 'C2508', 'C397', 'C3439', 'C3445', 'C1560', 'C2650']"
2010-12-13 15:20:00,"['C533', 'C207', 'C3741', 'C3704', 'C1631', 'C1337', 'C3704', 'C2695']"
2010-12-13 15:26:00,"['C2958', 'C2351', 'C42', 'C3214', 'C3445', 'C2900', 'C2914', 'C41', 'C2309', 'C3703', 'C2541', 'C2093', 'C1420', 'C3032', 'C1987', 'C718']"
